trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,3,-68.98114232750007,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-131.09355786907514,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-241.30220748949984,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.53054673208025,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-146.74725868868296,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-138.41383717638013,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-144.99462392520695,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-107.0942211314058,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-149.90371082194557,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-213.62849871820882,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-65.94483350163134,"{0: 19, 1: 1, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,7.691248780732867,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-53.65119920859929,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-7.048644510599669,"{0: 32, 1: 0, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-13.577766977624387,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-123.70927975163006,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,20,9.084597378323563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,-80.07215211912113,"{0: 21, 1: 2, 2: 0, 3: 3, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,15,4.531393945443792,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,-11.439721359456046,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,7.6821036183629445,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,1,-43.14915500000972,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-18.639467743592796,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-48.09201364960208,"{0: 28, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,28.421578251274294,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,19,10.745684665325914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,-16.86021763821728,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,-20.66967445338559,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,18,13.826812160530203,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-46.544575997074446,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
