trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.92592151403282,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.86993509303782,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.08828450283161,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.74401832976125,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.55056705356836,"{0: 14, 1: 6, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.86381086453865,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.33504533751318,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.8858482939682,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-159.56423149307275,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.11004098384205,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.3148811308591,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.41285108918163,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.91467151695832,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.424544116449,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.91951767619645,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.07988400775745,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.54016430029179,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.80629894417984,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.70398298761222,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-217.79213250238791,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,11,-38.89350090390003,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.18584290418445,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.8320236317781,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.90765399282978,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.63671563675244,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.3705038011219,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-104.35559906375968,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.83108100531507,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.07605656920006,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-134.47349938379804,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
